,customer_id,age,gender,marital_status,annual_income,total_purchases,preferred_category
0,4233,60,Female,Single,49819,45,Home Goods
1,5451,23,Male,Single,37186,13,Home Goods
2,5813,40,Female,Married,92643,35,Electronics
3,3141,57,Female,Married,66103,27,Home Goods
4,3121,23,Female,Single,40674,25,Appliances
5,1025,35,Male,Married,30592,29,Home Goods
6,5044,21,Female,Single,114518,13,Appliances
7,2343,60,Female,Single,69676,31,Appliances
8,1964,20,Female,Single,73393,26,Appliances
9,4343,59,Female,Divorced,54515,42,Electronics
10,1374,39,Male,Single,108051,13,Appliances
11,5945,45,Male,Single,92664,22,Home Goods
12,2744,48,Female,Divorced,53549,40,Appliances
13,2446,38,Male,Married,81105,44,Appliances
14,2225,54,Male,Single,61817,20,Home Goods
15,1959,25,Female,Married,85097,41,Appliances
16,4503,34,Female,Divorced,117419,32,Electronics
17,2860,58,Female,Single,112414,19,Electronics
18,5815,22,Female,Married,62413,41,Home Goods
19,1207,42,Female,Married,57310,43,Electronics
20,2045,39,Male,Single,90061,15,Electronics
21,4587,41,Female,Divorced,36013,42,Appliances
22,2536,54,Female,Divorced,97308,22,Home Goods
23,5714,62,Female,Divorced,86230,46,Home Goods
24,1344,29,Female,Single,74407,39,Appliances
25,2448,28,Male,Married,37070,33,Appliances
26,1952,30,Female,Divorced,51697,23,Appliances
27,4678,59,Male,Single,36617,44,Appliances
28,4960,42,Female,Single,76239,15,Home Goods
29,4339,63,Female,Married,76395,12,Appliances
30,1303,60,Male,Married,110409,40,Appliances
31,3915,63,Male,Single,82602,46,Appliances
32,2578,28,Male,Divorced,59410,19,Appliances
33,2128,32,Male,Single,38341,34,Electronics
34,4390,49,Female,Divorced,37997,22,Appliances
35,2874,36,Male,Single,107464,27,Appliances
36,3453,44,Male,Divorced,50370,24,Appliances
37,4004,47,Female,Married,67248,11,Appliances
38,5961,39,Male,Single,32480,18,Electronics
39,3880,56,Female,Single,99012,37,Electronics
40,1157,49,Female,Single,109163,43,Appliances
41,2398,20,Female,Single,88768,30,Home Goods
42,5439,25,Male,Divorced,47058,46,Appliances
43,1601,55,Female,Divorced,72218,18,Electronics
44,1316,41,Male,Married,35149,47,Home Goods
45,2551,44,Male,Married,73766,31,Appliances
46,2987,27,Male,Single,99862,12,Home Goods
47,5042,40,Male,Divorced,111904,41,Appliances
48,3939,42,Male,Single,53227,45,Appliances
49,4554,42,Female,Divorced,116555,46,Appliances
50,4757,58,Female,Divorced,99141,30,Home Goods
51,2941,53,Male,Married,82476,31,Home Goods
52,1318,40,Female,Single,47396,22,Electronics
53,4431,57,Male,Married,40882,19,Appliances
54,2230,31,Male,Divorced,113761,40,Appliances
55,5163,39,Male,Divorced,60198,21,Electronics
56,4009,38,Female,Divorced,104512,34,Electronics
57,4332,64,Female,Married,84533,21,Appliances
58,3235,48,Female,Married,76792,19,Home Goods
59,5506,53,Male,Single,67578,46,Appliances
60,3207,23,Male,Single,36351,16,Appliances
61,4102,65,Male,Single,107106,34,Appliances
62,4077,40,Male,Divorced,67435,21,Electronics
63,3454,37,Male,Single,81555,11,Appliances
64,4857,54,Male,Divorced,72427,17,Appliances
65,3868,27,Male,Divorced,92473,43,Appliances
66,3527,20,Male,Divorced,113592,37,Appliances
67,5094,62,Female,Married,68582,28,Appliances
68,4167,43,Female,Single,92409,18,Home Goods
69,1181,28,Male,Divorced,73708,47,Electronics
70,5694,37,Female,Single,62375,48,Electronics
71,5582,54,Female,Single,84223,36,Appliances
72,2215,29,Female,Married,59194,34,Home Goods
73,5472,20,Female,Married,30974,50,Electronics
74,4456,47,Male,Divorced,119294,19,Electronics
75,1003,48,Male,Married,44225,49,Appliances
76,4236,38,Male,Married,110822,23,Home Goods
77,2966,37,Male,Married,66964,43,Home Goods
78,3409,52,Male,Divorced,87694,46,Appliances
79,4446,54,Female,Divorced,31405,47,Electronics
